timestep,ID,x,y,z,u,v,w,fx,fy,fz,omx,omy,omz,tx,ty,tz
0.74,1,0.001001,0,0.000103406,5.2109e-08,0,0.000311972,2.06493e-12,0,2.17973e-09,0,-1.98835e-20,0,0,-1.82989e-31,0
0.74,2,0.002002,0,0.000103406,5.2109e-08,0,0.000311972,2.06493e-12,0,2.17973e-09,0,-1.98835e-20,0,0,-1.82989e-31,0
0.74,3,4.29081e-09,0.001001,0.000103406,5.2109e-08,0,0.000311972,2.06493e-12,0,2.17973e-09,0,-1.98835e-20,0,0,-1.82989e-31,0
0.74,4,0.001001,0.001001,0.000103406,5.2109e-08,0,0.000311972,2.06493e-12,0,2.17973e-09,0,-1.98835e-20,0,0,-1.82989e-31,0
0.74,5,0.002002,0.001001,0.000103406,5.2109e-08,0,0.000311972,2.06493e-12,0,2.17973e-09,0,-1.98835e-20,0,0,-1.82989e-31,0
0.74,6,4.29081e-09,0.002002,0.000103406,5.2109e-08,0,0.000311972,2.06493e-12,0,2.17973e-09,0,-1.98835e-20,0,0,-1.82989e-31,0
0.74,7,0.001001,0.002002,0.000103406,5.2109e-08,0,0.000311972,2.06493e-12,0,2.17973e-09,0,-1.98835e-20,0,0,-1.82989e-31,0
0.74,8,0.002002,0.002002,0.000103406,5.2109e-08,0,0.000311972,2.06493e-12,0,2.17973e-09,0,-1.98835e-20,0,0,-1.82989e-31,0
0.74,9,7.80351e-06,0,0.00110438,5.40884e-05,0,0.000311551,1.12322e-09,0,2.1603e-09,0,-4.67371e-13,0,0,-5.64733e-25,0
0.74,10,0.0010088,0,0.00110438,5.40884e-05,0,0.000311551,1.12322e-09,0,2.1603e-09,0,-4.67371e-13,0,0,-5.64733e-25,0
0.74,11,0.0020098,0,0.00110438,5.40884e-05,0,0.000311551,1.12322e-09,0,2.1603e-09,0,-4.67371e-13,0,0,-5.64733e-25,0
0.74,12,7.80351e-06,0.001001,0.00110438,5.40884e-05,0,0.000311551,1.12322e-09,0,2.1603e-09,0,-4.67371e-13,0,0,-5.64733e-25,0
0.74,13,0.0010088,0.001001,0.00110438,5.40884e-05,0,0.000311551,1.12322e-09,0,2.1603e-09,0,-4.67371e-13,0,0,-5.64733e-25,0
0.74,14,0.0020098,0.001001,0.00110438,5.40884e-05,0,0.000311551,1.12322e-09,0,2.1603e-09,0,-4.67371e-13,0,0,-5.64733e-25,0
